trip_id,date,route_id,route_name,bus_id,capacity,passengers_on_board,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,scheduled_travel_min,actual_travel_min,delay_min,occupancy_rate
R1_20251020_0500,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS120,45,11,2025-10-20T05:00:00,2025-10-20T05:02:00,2025-10-20T05:35:00,2025-10-20T05:43:00,35,38,8,0.244
R1_20251020_0520,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS118,50,5,2025-10-20T05:20:00,2025-10-20T05:22:00,2025-10-20T05:55:00,2025-10-20T05:59:00,35,40,4,0.1
R1_20251020_0540,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS122,55,9,2025-10-20T05:40:00,2025-10-20T05:40:00,2025-10-20T06:15:00,2025-10-20T06:17:00,35,38,2,0.164
R1_20251020_0600,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS122,50,27,2025-10-20T06:00:00,2025-10-20T06:03:00,2025-10-20T06:35:00,2025-10-20T06:40:00,35,37,5,0.54
R1_20251020_0620,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS112,45,34,2025-10-20T06:20:00,2025-10-20T06:21:00,2025-10-20T06:55:00,2025-10-20T07:00:00,35,39,5,0.756
R1_20251020_0635,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS102,55,41,2025-10-20T06:35:00,2025-10-20T06:41:00,2025-10-20T07:10:00,2025-10-20T07:15:00,35,37,5,0.745
R1_20251020_0655,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS122,45,45,2025-10-20T06:55:00,2025-10-20T06:56:00,2025-10-20T07:30:00,2025-10-20T07:35:00,35,38,5,1
R1_20251020_0720,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS114,55,44,2025-10-20T07:20:00,2025-10-20T07:20:00,2025-10-20T07:55:00,2025-10-20T08:04:00,35,46,9,0.8
R1_20251020_0740,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS119,55,47,2025-10-20T07:40:00,2025-10-20T07:43:00,2025-10-20T08:15:00,2025-10-20T08:33:00,35,52,18,0.855
R1_20251020_0800,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS121,50,39,2025-10-20T08:00:00,2025-10-20T08:00:00,2025-10-20T08:35:00,2025-10-20T08:48:00,35,47,13,0.78
